name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600
South Kitchen,Yes,No,4.3,275,Basavanagudi,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100
Chung Wah,Yes,No,3.7,323,Jayanagar,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings","Chinese, Thai, Momos",850
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,400
Java City,Yes,No,2.6,157,Jayanagar,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food",300
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400
Rustic Stove,Yes,No,3.8,577,Jayanagar,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages",900
De Thaali,Yes,No,3.9,144,Jayanagar,"Malai Kofta, Sandwich, Naan","North Indian, Chinese, Rolls",550
Spice Elephant,Yes,No,4.1,787,Banashankari,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800
Matru Sagar,Yes,No,3.6,84,Banashankari,"Coffee, Masala Dosa","South Indian, North Indian, Chinese",250
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,"Tandoori Chicken, Rolls","North Indian, Fast Food",400
Cafe Aira,Yes,No,4.1,216,Basavanagudi,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Penthouse Cafe,Yes,No,4.0,324,Banashankari,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,Aloo Paratha,"North Indian, Chinese, Rolls, Biryani, Kebab",400
South Grand,Yes,No,3.4,102,Uttarahalli,Rava Dosa,"South Indian, North Indian, Chinese, Beverages",400
The Pizzeria,Yes,No,2.8,45,Banashankari,Pesto Pizza,"Pizza, Italian, Salad",800
Ruchis Point,Yes,No,3.8,75,Banashankari,"Sandwiches, Noodles, Sandwich","Fast Food, Chinese",200
Firangi Bake,Yes,No,4.0,53,Rajarajeshwari Nagar,"Lasagne, Steak, Masala Quesadilla, Garlic Bread","Mexican, Italian",600
The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian","North Indian, Chinese",900
Hara Fine Dine,Yes,Yes,4.0,633,Banashankari,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan","North Indian, Chinese",800
Chocoberry,Yes,No,3.5,56,Jayanagar,"Waffles, Cup Cake, Chocolate Cake","Ice Cream, Desserts, Beverages",400
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Waffles,"Fast Food, Desserts, Ice Cream",400
Cross Road Cafe,Yes,No,3.9,91,Jayanagar,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300
Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,"Freak Shake, Fries, Pasta Alfredo","Cafe, Continental, Fast Food",650
Ivy,Yes,No,3.8,210,Kumaraswamy Layout,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken","North Indian, Chinese, Fast Food",600
The Airos,Yes,No,4.1,130,Jayanagar,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Chai Kraft,Yes,No,4.1,30,Jayanagar,"Masala Chai, Coffee, Masala Tea, Maggi","Beverages, Tea",100
The Trundle,Yes,No,3.7,133,Jayanagar,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup","Chinese, Thai, Continental, North Indian",700
The Krishna Grand Xpress,Yes,No,4.0,136,Jayanagar,"Vada, Masala Dosa, Idli","South Indian, Fast Food",350
Udupi Grand,Yes,No,3.8,74,Basavanagudi,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300
